Matrice,Tolleranza,Metodo,Iterazioni,Tempo (s),Errore Relativo
spa1,0.0001,Jacobi,1,0.0012583732604980469,3.173373992017326e-16
spa1,0.0001,Gauss-Seidel,1,0.016098499298095703,1.0548754725199092e-15
spa1,0.0001,Gradiente,5465,2.0931055545806885,0.0001495838285425968
spa1,0.0001,Gradiente Coniugato,145,0.06531572341918945,1.519120371983447e-05
spa1,1e-06,Jacobi,1,0.001920938491821289,3.173373992017326e-16
spa1,1e-06,Gauss-Seidel,1,0.014997720718383789,1.0548754725199092e-15
spa1,1e-06,Gradiente,10143,3.622840166091919,1.5021479802496591e-06
spa1,1e-06,Gradiente Coniugato,186,0.08625531196594238,2.226030907310355e-08
spa1,1e-08,Jacobi,1,0.0009486675262451172,3.173373992017326e-16
spa1,1e-08,Gauss-Seidel,1,0.014003753662109375,1.0548754725199092e-15
spa1,1e-08,Gradiente,14829,5.355890512466431,1.5036051144292783e-08
spa1,1e-08,Gradiente Coniugato,209,0.1020658016204834,1.9280009420685444e-10
spa1,1e-10,Jacobi,1,0.0015015602111816406,3.173373992017326e-16
spa1,1e-10,Gauss-Seidel,1,0.013999700546264648,1.0548754725199092e-15
spa1,1e-10,Gradiente,19517,7.612893581390381,1.5025680111640002e-10
spa1,1e-10,Gradiente Coniugato,232,0.11293339729309082,1.82368196298741e-12
spa2,0.0001,Jacobi,1,0.01004648208618164,3.7272200408596566e-16
spa2,0.0001,Gauss-Seidel,1,0.14008378982543945,5.283153095733696e-16
spa2,0.0001,Gradiente,3985,32.449100971221924,3.388425727624558e-05
spa2,0.0001,Gradiente Coniugato,179,1.4006054401397705,2.685225991906148e-06
spa2,1e-06,Jacobi,1,0.009062767028808594,3.7272200408596566e-16
spa2,1e-06,Gauss-Seidel,1,0.14528727531433105,5.283153095733696e-16
spa2,1e-06,Gradiente,7169,41.64085555076599,3.4328380374441053e-07
spa2,1e-06,Gradiente Coniugato,225,1.7277708053588867,1.6685135343383703e-08
spa2,1e-08,Jacobi,1,0.00790858268737793,3.7272200408596566e-16
spa2,1e-08,Gauss-Seidel,1,0.15044951438903809,5.283153095733696e-16
spa2,1e-08,Gradiente,10385,60.07608437538147,3.446627479230813e-09
spa2,1e-08,Gradiente Coniugato,275,2.116197109222412,1.926085777259753e-10
spa2,1e-10,Jacobi,1,0.007984399795532227,3.7272200408596566e-16
spa2,1e-10,Gauss-Seidel,1,0.14298653602600098,5.283153095733696e-16
spa2,1e-10,Gradiente,13611,78.6625645160675,3.450425847182548e-11
spa2,1e-10,Gradiente Coniugato,315,2.4195215702056885,2.4830768128182122e-12
vem1,0.0001,Jacobi,1,0.002303600311279297,1.230811461136638e-16
vem1,0.0001,Gauss-Seidel,1,0.04402279853820801,9.62719813604736e-17
vem1,0.0001,Gradiente,760,1.119150161743164,0.006196522562876524
vem1,0.0001,Gradiente Coniugato,37,0.06996273994445801,7.236425110037565e-05
vem1,1e-06,Jacobi,1,0.0020024776458740234,1.230811461136638e-16
vem1,1e-06,Gauss-Seidel,1,0.04309797286987305,9.62719813604736e-17
vem1,1e-06,Gradiente,1482,2.1619441509246826,6.211796654838323e-05
vem1,1e-06,Gradiente Coniugato,44,0.08540487289428711,7.614038617695499e-07
vem1,1e-08,Jacobi,1,0.001912832260131836,1.230811461136638e-16
vem1,1e-08,Gauss-Seidel,1,0.043081045150756836,9.62719813604736e-17
vem1,1e-08,Gradiente,2206,3.283578872680664,6.169107908787033e-07
vem1,1e-08,Gradiente Coniugato,52,0.10033011436462402,7.00375106035804e-09
vem1,1e-10,Jacobi,1,0.0019137859344482422,1.230811461136638e-16
vem1,1e-10,Gauss-Seidel,1,0.0450894832611084,9.62719813604736e-17
vem1,1e-10,Gradiente,2928,4.248781442642212,6.209614201685696e-09
vem1,1e-10,Gradiente Coniugato,58,0.11170220375061035,5.214074255020224e-11
vem2,0.0001,Jacobi,1,0.006996870040893555,1.249401005510983e-16
vem2,0.0001,Gauss-Seidel,1,0.10422968864440918,1.500961810260721e-16
vem2,0.0001,Gradiente,1082,4.72578239440918,0.009588213949326513
vem2,0.0001,Gradiente Coniugato,45,0.2648289203643799,0.00016029242355322724
vem2,1e-06,Jacobi,1,0.005909919738769531,1.249401005510983e-16
vem2,1e-06,Gauss-Seidel,1,0.10387039184570312,1.500961810260721e-16
vem2,1e-06,Gradiente,2208,9.643406867980957,9.688344244014366e-05
vem2,1e-06,Gradiente Coniugato,55,0.32515716552734375,7.79558962521882e-07
vem2,1e-08,Jacobi,1,0.00598454475402832,1.249401005510983e-16
vem2,1e-08,Gauss-Seidel,1,0.10533952713012695,1.500961810260721e-16
vem2,1e-08,Gradiente,3336,14.542598009109497,9.733223824869594e-07
vem2,1e-08,Gradiente Coniugato,63,0.3708975315093994,2.5452160182460912e-08
vem2,1e-10,Jacobi,1,0.005926609039306641,1.249401005510983e-16
vem2,1e-10,Gauss-Seidel,1,0.10200071334838867,1.500961810260721e-16
vem2,1e-10,Gradiente,4466,19.8278591632843,9.704514520714484e-09
vem2,1e-10,Gradiente Coniugato,73,0.4279162883758545,4.366259356013689e-11
